Gene,MCF10A_R1,MCF10A_R2,MCF10A_R3,MCF7_R1,MCF7_R2,MCF7_R3,MDA.MB.231_R1,MDA.MB.231_R2,MDA.MB.231_R3
C1DP1,2.28619447920394,2.50036246270354,2.22270923060978,2.37560576591136,2.63461382441076,2.05997385288589,2.1281926680691,1.94576118802809,2.40002042183007
C1GALT1,55.0909364085949,23.3915488287134,37.4414508381012,10.6902259466011,7.29585366759903,8.0487638169459,44.1149090347206,43.0769907460664,45.6003880147713
C1GALT1C1,35.2772509221608,18.7527184702766,23.4504438981388,26.7538458875256,21.1377093758494,21.9801333787309,27.8468599957517,27.8892436950693,31.6252691001567
C1orf106,5.42971188810935,12.9295058926644,7.08165499054744,0.707025525568857,1.09437805013986,1.42286853756036,1.8396241707038,1.72956550046941,1.60001361455338
C1orf109,7.62064826401313,5.79031307152399,9.49389756640301,8.79539753807659,8.49156301867776,9.57781657372718,7.68313624235117,7.91816705683654,8.15006934913128
C1orf112,11.018187281719,2.27006592008611,12.8538068684876,11.0861602409197,12.889341479425,12.0625273034968,23.4461904109308,21.5114709120883,23.9752040055733
C1orf115,0.127010804400219,1.94107085920407,0.58583033985064,6.05213849886942,5.67455285257703,5.11807936644845,0.757492305583918,0.864782750234707,0.675005743639707
C1orf116,91.6065426736578,96.8890454297623,74.521065289824,0.19796714715928,0.101331300938875,0.0849473753767377,1.15427398946121,0.945856133069211,1.02500872182326
C1orf122,8.00168067721378,14.7718782336038,11.4409219312007,7.29650342387061,16.76019717529,13.1880800272385,7.75527836669249,8.16138720534005,7.3250623291272
C1orf123,11.9390156136206,12.2386162648121,11.4064613229742,14.621287868764,13.2541341628049,15.4604223185663,14.3923538060944,14.4040376835968,12.5001063636983
C1orf131,5.62022809470968,5.32971998628913,6.65089738771609,18.6654738750178,13.5986605859971,13.7827116548757,4.18424321179688,4.45903605589771,4.17503552547523
C1orf132,8.19219688381411,10.9555355273721,4.01466085838821,1.61201819829699,1.60103455483423,1.9113159459766,1.2624871759732,1.91873672708326,1.70001446546297
C1orf159,3.0800120067053,5.52711702281836,6.35798221779077,2.40388678693412,4.31671341999609,4.28984245652525,2.63318753845838,2.75649501637313,3.25002765456155
C1orf174,6.54105642661127,6.97469529069935,8.52900053606078,9.16305081137239,10.4168577365164,9.6840007929481,13.2380798166332,11.7826649719479,13.175112107338
C1orf198,7.90642257391362,20.0028997016283,11.7166067970128,18.3826636647903,18.199101648622,19.346764742052,23.2658351000775,24.9165529911375,22.2001889019282
C1orf21,26.8310324295462,29.5437564672076,10.7861703748971,26.3013495511615,22.5563475889937,19.5591331804939,18.4683838313793,18.9171226613842,17.275146994631
C1orf210,6.28703481781083,6.84309726634654,2.77407896223391,1.52717513522873,2.49275000309634,2.0387370090417,0,0.0270244609448346,0
C1orf216,5.58847539360962,6.48120269937629,7.27118833579323,7.29650342387061,8.45103049830221,7.96381644156916,4.40066958482086,4.9184518919599,3.37502871819854
C1orf226,0.666806723101148,0.888286664381521,0.413527298718099,3.98762396420836,3.87085569586504,3.39789501506951,1.65926885985049,1.37824750818656,1.65001404000817
